tile_id,plasmid_length,insert_length,lvl1_group,position,gg_ready,domestication_mutations,cds_features,gene_features,total_features,file
146,8502,6252,9,11,True,0,4,3,15,tile_146.gb
147,8230,5980,9,12,True,0,8,7,23,tile_147.gb
148,10636,8386,9,13,True,0,9,8,25,tile_148.gb
149,10109,7859,9,14,False,1,6,5,20,tile_149.gb
150,7927,5677,10,0,True,0,7,6,21,tile_150.gb
151,9835,7585,10,1,True,0,9,8,25,tile_151.gb
152,8576,6326,10,2,True,0,7,7,22,tile_152.gb
153,9118,6868,10,3,True,0,9,8,25,tile_153.gb
154,9667,7417,10,4,True,0,7,6,21,tile_154.gb
155,9096,6846,10,5,True,0,11,10,29,tile_155.gb
156,8470,6220,10,6,True,0,6,5,19,tile_156.gb
157,8250,6000,10,7,True,0,8,7,23,tile_157.gb
158,8732,6482,10,8,True,0,9,8,25,tile_158.gb
159,9250,7000,10,9,True,0,4,4,16,tile_159.gb
160,10227,7977,10,10,True,0,7,7,22,tile_160.gb
161,9250,7000,10,11,False,1,6,6,22,tile_161.gb
162,9250,7000,10,12,True,0,9,9,26,tile_162.gb
163,7726,5476,10,13,True,0,8,7,23,tile_163.gb
164,9499,7249,10,14,False,1,7,6,22,tile_164.gb
165,8275,6025,11,0,True,0,9,8,25,tile_165.gb
166,9017,6767,11,1,True,0,8,7,23,tile_166.gb
167,8387,6137,11,2,True,0,10,9,27,tile_167.gb
168,7919,5669,11,3,True,0,6,6,20,tile_168.gb
169,9761,7511,11,4,False,1,8,8,25,tile_169.gb
170,10325,8075,11,5,True,0,10,9,27,tile_170.gb
171,7175,4925,11,6,True,0,4,3,15,tile_171.gb
172,8697,6447,11,7,True,0,9,8,25,tile_172.gb
173,9277,7027,11,8,True,0,6,6,20,tile_173.gb
174,8810,6560,11,9,True,0,9,7,24,tile_174.gb
175,8765,6515,11,10,True,0,7,6,21,tile_175.gb
176,8961,6711,11,11,True,0,8,8,24,tile_176.gb
177,8679,6429,11,12,True,0,8,8,24,tile_177.gb
178,9989,7739,11,13,True,0,14,17,39,tile_178.gb
179,8606,6356,11,14,False,1,9,10,28,tile_179.gb
180,8250,6000,12,0,True,0,7,7,22,tile_180.gb
181,8250,6000,12,1,True,0,11,12,31,tile_181.gb
182,9492,7242,12,2,True,0,9,8,25,tile_182.gb
183,9604,7354,12,3,True,0,7,6,21,tile_183.gb
184,9293,7043,12,4,True,0,8,7,23,tile_184.gb
185,9250,7000,12,5,False,0,5,4,18,tile_185.gb
186,9636,7386,12,6,False,0,8,7,24,tile_186.gb
187,9250,7000,12,7,True,0,10,12,30,tile_187.gb
188,9368,7118,12,8,True,0,8,7,23,tile_188.gb
